板块名,标题,作者,日期,新闻内容
港股,国资出手！紧急“输血”绿地控股30亿,市场资讯,2022年08月08日 00:00,8月7日晚，去年营收超5400亿的“建筑+地产”巨头绿地控股公告，全资子公司绿地集团拟向公司股东上海地产、上海城投借款30亿元，并由公司提供连带责任保证担保。此前的5月27日，公司一笔金额5亿美元票息6.75%的美元债寻求展期，让这家上海老牌地产龙头的财务状况备受关注。尽管上述债务顺利展期一年，但多家评级机构下调了公司的评级，其中标普更是给出了“选择性违约”。两大国资股东出手分别借款15亿根据公告，绿地控股称，为了保持流动性合理充裕，为保交付、稳民生等工作提供有力支撑，同时进一步促进转型升级，保障公司长期平稳、健康、可持续发展，经公司第十届董事会第四次会议审议通过，公司全资子公司绿地控股集团有限公司拟向公司股东上海地产（集团）有限公司、上海城投（集团）有限公司分别借款15亿元，借款期限为二年，借款年利率为6%。据悉，借款将以委托贷款方式发放，并由绿地控股提供连带责任保证担保。鉴于上海地产、上海城投为持有本公司5%以上股份的股东，本次交易构成关联交易。截至2022年5月18日的股东名单显示，上海地产（集团）有限公司是公司第二大股东，持股数32.99亿股，持股比例25.82%。上海地产系经上海市人民政府批准成立的国有独资企业集团公司，自成立以来致力于打造成为上海最重要的城市更新平台。上海城投（集团）有限公司是公司第三大股东，持股26.26亿股，持股比例20.55%。上海城投成立于1992年7月21日，是经上海市人民政府批准和授权的对城市建设资金进行筹措、使用、管理的专业投资控股公司。绿地控股称，本次交易是国有股东支持公司发展的有力举措，有助于公司保持流动性合理充裕，为保交付、稳民生等工作提供有力支撑，同时进一步促进转型升级，保障公司长期平稳、健康、可持续发展。本次交易对公司财务状况和经营成果无重大影响。一笔5亿美元债券刚展期上半年净利预降49%此前的5月27日，根据港交所公告，绿地集团正在寻求为6月25日到期4.88亿美元债的持有人对拟议修订和豁免的同意，其中包括延长票据到期日。公司提议上述票息为6.75%美元债延期一年，计划6月25日先行支付10%的未偿本金，剩余部分在2023年6月25日偿还。6月22日，公司顺利完成困境债务延期。绿地控股董事长张玉良称，此举为“公司从稳定核心产业、实现可持续发展的全局出发，主动应对，采取积极的债务管理举措”。尽管债务展期不等于实质性违约，但作为知名大型国企，绿地集团出现流动性问题还是引发了行业高度关注。包括标普、穆迪等评级机构在内，均下调了公司的评级。标普全球评级将绿地集团评级下调至“SD”（选择性违约）。标普将该交易视为困境债务重组，“这无异于违约”，“如果债券未延期，绿地可能缺乏在到期时进行全额偿付的资源和融资方案”。绿地控股8月3日发布业绩预告，2022年上半年公司营业收入2047.36亿元，同比下降27.64%；上半年归属于上市公司股东的净利润42.02亿元，同比下降48.97%。公司称，上半年外部环境极为严峻。国内疫情出现重大反复，尤其公司大本营所在地上海的疫情导致社会全面封控，严重影响了企业正常生产经营。政策层面以促进房地产行业良性循环和健康发展为导向，出台了一系列相对宽松的措施，但落地见效还需时日，市场持续低迷。公开资料显示，绿地集团于今年9、11、12三个月份都有境外债到期，明年后年也有债券到期，最近的一笔是9月26日到期的5.75%票息债券，规模为2亿美元，价格已经来到1美元面值50美分。股价方面，绿地控股自近两年高点算起跌幅超过60%，自2015年历史高点算起跌幅超过90%，最新股价3.07元，最新市值431亿元，只有净资产的四成多。截至2022年3月31日，绿地控股有股东户数11.82万户。
证券,郑眼看盘：“双创”股指相对较强 芯片一枝独秀,每日经济新闻,2022年08月08日 00:00,上周，A股先跌后涨，主板稍弱。上证综指全周跌0.81%至3227.03点，深综指跌0.70%至2166.01点。“双创”股指相对较强，创业板综指全周小涨0.37%，科创50指数罕见大涨6.28%。最近的确有相对较多的科创板股票表现强于创业板，所以科创板股指的表现就比较好。此外，“双创”中的权重股表现也是股指分化的重要原因之一。上周科创板第一权重股大涨10.60%，但创业板的却跌了0.58%。宁德时代权重惊人，若其一时难涨，多数情况下创业板股指也难有表现。中芯国际等芯片类股是上周表现最靓丽的板块，上涨原因比较复杂。除了芯片类公司业绩增速相对较快之外，也与最近芯片行业国际竞争消息趋于严苛相关，因这刺激了“国产替代”市场预期发酵。这种市场情绪在最近上市的身上特别明显，该股从上周三起的表现令人瞠目结舌，其走势一如脱缰野马，仅仅3天就涨了58%。军工板块是另一个受人关注的板块，该板块表现与地缘局势密切相关，但短线博弈成分似乎显得更高。军工股在上周稍早强势表现，但随着相关消息渐渐明朗，该板块便出现了显著回吐。接下来军工股还可能反复受到关注与炒作，只是我感觉多半会呈现阶段性炒作特征，持续性有可能不如芯片股。芯片技术无疑是一国终极竞争力所在，是强国艰难征程上绝对绕不过去的坎。只有当我们在终极竞争力上取得显著进展时，想发展包括军工在内的任何行业才会容易得多。不过，在看好芯片类股的同时，投资者也得注意节奏，不能追得过急。我个人感觉芯片股再涨一些就可能进入分化，届时可能只有少数业绩增速的确过硬的品种还能走强，而仅凭情绪刺激的品种一旦进入短期回调，幅度也可能较大。国际金融市场发生了一些重大事项，这主要是美联储加息预期陡然强化，而导火索是此前美国公布的7月非农就业数据大超预期。美国公布7月新增非农就业人数52.8万人，是预期25万的两倍，失业率则由3.6%降至3.5%，追平了最近50年来最优水平。本周我国有较多经济指标公布，建议投资者多多关注本周三公布的CPI数据，这是揣摩我们央行后续动向的极重要指标之一。另一个焦点应是国内疫情，尤其是三亚疫情，因这极可能对旅游、酒店、航空等相关个股构成压力。投资者若持有相关的旅游酒店等受累品种，我个人觉得并不一定就得大量抛售，顶多是短线稍稍控制仓位，因这类个股已消化掉了大部分负面因素。大盘方面，我个人猜测本周大盘或以震荡横盘为主。市场需要一些时间来反映国内外经济指标，也需要一些时间来消化越来越密集的中期报表。另外还有极重要的一点是：市场需要一些时间来观察国际关系及相关政策的变化。责任编辑：何松琳
国内财经,沈晓明：坚决压实防外溢政治责任 尽快打赢疫情防控这场大仗,市场资讯,2022年08月07日 23:59,沈晓明主持召开省委应对疫情工作领导小组专题会议强调坚决压实防外溢政治责任尽快打赢疫情防控这场大仗冯飞毛万春徐启方参加王贺胜到会指导来源：海南广播电视总台8月7日，省委书记、省委应对疫情工作领导小组组长沈晓明主持召开省委应对疫情工作领导小组专题会议，强调要克服麻痹松懈思想，坚决压实防外溢政治责任，尽快打赢疫情防控这场大仗。会议强调——◆防止疫情外溢事关防控成败，要坚决克服麻痹思想，充分发挥岛屿地理优势，守好机场、港口等离岛关口，建立旅客出岛审核评估机制，确保不漏一人。◆要坚持以快制快，全力以赴开展“追阳”工作，保证“追阳”质量，提高“追阳”效率。◆要推进全岛核酸筛查工作，高效衔接核酸检测“采、送、检、报”各环节，提高检测速度。◆要把满腔热情做好群众工作贯穿疫情防控始终，提升工作能力，注意方式方法，尽可能预留政策制定调整的缓冲期，以细致暖心的服务争取市民游客的理解和支持。◆要严格落实国务院联防联控机制关于防止院内感染相关工作要求，严防医护人员感染，抓紧开展确诊病例康复治疗，加快方舱医院建设，提升方舱医院利用率。◆要做好极端天气条件下疫情防控工作应对预案，全力保障抗疫物资和居民生活物资储备和供应充足。◆要优化整合力量，以“四不两直”方式，对照问题清单，开展督促检查，促进问题整改，助推各项防控措施落实到位。省长、省新型冠状病毒肺炎疫情防控工作指挥部总指挥冯飞，省领导毛万春、徐启方等参加会议。国家卫生健康委副主任、国家疾病预防控制局局长王贺胜到会指导。责任编辑：梁斌SF055
自媒体热点,日本疫情全球最严重！东京已发出“警报”,央视网,2022年08月07日 23:55,来源：央视财经近期日本疫情持续快速蔓延，成为全世界新冠疫情最严重的国家。世卫组织最新公布的数据显示，7月25日至31日的一周内，日本新增感染近138万例，占全球新增病例的21%，连续两周位居全球首位。这一周之内，日本全国累计发生了1300多起集体感染，创下疫情暴发之后的新高。据统计，日本全国目前有超过140万人居家隔离，这一数字也创下了最高值。在新冠疫情肆虐的同时，5日，日本还发现了第3例猴痘感染病例。据报道，感染者是一名隶属于驻日美军横田基地的20多岁男性。与此前确诊的两人不同，这名感染者近期并没有离开日本，但曾与短期入境日本的人员有过接触，疑似是日本国内首例本土感染的猴痘病例，详细感染路径目前仍在进一步调查中。雪上加霜的是，近期手足口病在日本也出现了流行趋势。日本国立感染症研究所公布的最新数据显示，日本全国手足口病患者人数连续11周增加。其中，东京时隔3年发布了手足口病的流行预警。一旦出现大范围流行，将使日本的医疗系统再度承压。责任编辑：周唯
自媒体热点,欧洲人纷纷去非洲避暑？！滑雪场火爆，什么情况…,央视网,2022年08月07日 23:55,来源：央视财经最近几天，非洲东南部国家莱索托王国的滑雪场，迎来了大批来自欧洲和邻国南非的游客。得益于全国平均海拔1000米以上这一得天独厚的地理优势，莱索托王国马洛蒂山脉拥有撒哈拉以南非洲地区唯一一家滑雪场——非洲滑雪场。这个滑雪场每年六月到八月向游客开放，虽然雪道长度仅一公里，但仍有许多游客慕名而来，体验一把在非洲滑雪的感觉。由于在非洲很少看到雪，因此来这里滑雪的大多是邻国南非的游客。今年由于罕见高温天气，这里还迎来了不少欧洲游客。为了吸引游客，非洲滑雪场不仅修建了滑雪公园，还不定期举办各种丰富多彩的活动。上个月这里刚刚举办了单板滑雪等一系列比赛，吸引了全球众多专业滑雪运动员及爱好者。依托良好的自然环境，莱索托大力发展生态旅游，近年修建了一些旅馆和山区度假村以及一座国家公园，每年吸引游客约100万人次。而滑雪作为新兴项目，正逐渐成为当地旅游业的支柱。责任编辑：周唯
产经,假烟大案！案值3.65亿元！,央视网,2022年08月07日 23:55,经过半年多侦破工作，甘肃陇南警方联合烟草专卖部门日前破获一起特大贩卖假烟案。抓获犯罪嫌疑人37人，捣毁假烟窝点3处，现场查获30多个品种涉嫌走私的假烟6436条，经对犯罪团伙涉案资金流水梳理，该案案值达3.65亿元。查获假烟6436条案值达3.65亿元2021年，有群众向陇南市烟草专卖部门反映，有人通过微信朋友圈低价销售软中华等品牌高档香烟，立即引起烟草部门的高度关注。与此同时，陇南警方也获得线索，在微信朋友圈低价销售高档名牌香烟的是文县人王某。陇南市公安局网安支队政委李波：出售香烟的种类大部分是国产的销量比较好的香烟。通过进一步工作发现，几名人员在王某处邮购了几条香烟，被烟草公司发现了以后，经过鉴定都是假烟。烟草部门查获的是假冒的中华烟，它的包装仿真度很高，一般消费者从包装上很难辨识真假。警方调查发现，文县人王某长期在四川成都某影楼做化妆师。警方对她的微信朋友圈梳理发现，她所发布香烟广告涉及品牌规格多达83个。那么，王某销售的假烟又是从哪儿来的呢？陇南警方与烟草专卖部门立即联合成立专案组，展开侦查。陇南市公安局网安支队政委李波：进一步工作发现，王某的香烟是来自于她的表姐王某云，王某云也是文县人，后面我们就对王某云实施了抓捕。王某云到案后，警方从王某云的手机里发现了大量转账记录等销售假烟信息。经梳理分析，警方发现王某云的上线为广西防城港的王某阳，王某阳所销售的假烟均来自一个跨境走私团伙，假烟是在海上从越南籍走私船上买来的。在当地警方的配合下，专案组很快摸清了王某阳在防城港的住处，并将其抓获。王某阳每条烟可赚取10元到30元不等的利润。行动当天，专案组获得新的线索，又有一名下线向走私假烟团伙购买了10万元的货，利用一辆货车准备将假烟运往江苏。专案组立即部署警力，在一高速收费站将车辆截获，现场查扣假烟2977条。专案组查实，走私团伙的另外一个重要下线王某平在云南蒙自，警方立即赶赴云南将其抓获，并在他家中查获还未发出的各种品牌假烟2308条。行动中，专案组民警在广西、云南、四川等地先后将假烟走私团伙头目宁某及多名主要犯罪嫌疑人抓获。经审查，这个走私、销售假烟犯罪网络层级分工明确。首批20名犯罪嫌疑人被提起公诉目前，检察机关已将该案首批20名犯罪嫌疑人依法向人民法院提起公诉。公安部也将组织25个省区的涉案地公安机关，对梳理出的107名下线假烟分销人员发起集群打击行动。责任编辑：梁斌SF055
滚动新闻,巴菲特巨亏近3000亿元！股神发生了什么？,媒体滚动,2022年08月07日 23:54,来源：央视财经财报显示，今年第二季度伯克希尔营收761.8亿美元，运营利润92.83亿美元，同比增长38.7%；归属于股东的净亏损为437.55亿美元，上年同期盈利280.94亿美元。其中，由于美股大跌，伯克希尔-哈撒韦的投资和衍生品损失530.38亿美元（约合人民币3584亿元）。今年上半年，伯克希尔的投资累计损失达到546亿美元。分析人士称，伯克希尔-哈撒韦的投资组合在二季度出现巨亏，伯克希尔-哈撒韦在财报中提示投资者，责任编辑：周唯
国内财经,临时运力调整！海南部分高铁车站停办客运业务,中新经纬,2022年08月07日 23:49,原标题：临时运力调整，海南部分高铁车站停办客运业务中新经纬8月7日电据中国铁路广州局集团有限公司海南铁路官方微博7日消息，因临时运力调整，影响海南进出岛旅客列车运行方案，部分高铁车站停办客运业务。具体如下：8月6日北京西开Z201次运行至湛江西终止，8月8日海口开Z202次改为8月9日湛江西始发。8月7-10日北京西开Z501次运行至湛江西终止，8月9-12日海口开Z502次改为8月10-13日湛江西始发。8月12日北京西开Z501次运行至湛江西终止，8月14日三亚开Z502次改为8月15日湛江西始发。8月6-12日上海南开K511次运行至湛江西终止，8月8-14日海口开K512次改为8月9-15日湛江西始发。8月7-15日三亚站、亚龙湾站、崖州站、凤凰机场站、陵水站停办客运业务。（中新经纬APP）责任编辑：王蒙
滚动新闻,美联储戴利：美联储在降低通胀方面的工作“远未完成”,环球市场播报,2022年08月07日 23:48,数据显示，整个7月美国雇主增加了52.8万个就业岗位，是经济学家预测的两倍之多。周五的强劲就业报告指标显然无形中支持了美联储再次加息75个基点。戴利在本月早些时候曾表示，50个基点的加息“在9月份是一件合理的事情”。周日，她援引了一些迹象，表明随着物价上涨放缓和劳动力市场火热，经济正在降温。美联储今年快速加息，包括6月和7月加息75个基点，以努力将通胀率控制在40年来的最高水平。7月会议后，美联储主席鲍威尔表示，9月份再次大幅加息是可能的，但没有给出具体的远期指导，并表示未来的加息将取决于宏观及市场数据。投资者将这番言论解读为转向不那么咄咄逼人的姿态，市场因此有所反弹。责任编辑：周唯
国内新闻,王毅：美方在台湾问题上犯了三方面错误,新华网,2022年08月07日 23:39,
